yishang,易伤：受到的伤害增加50%。
liliang,力量：每有1点力量，造成的伤害额外加1.
xuruo,虚弱：造成的伤害减少25%。
minjie,敏捷：每有1点敏捷，获得的防御额外加1。
cuiruo,脆弱：获得的格挡减少25%。
jingji,荆棘：每次受到攻击时，对伤害来源造成等同于荆棘层数的伤害。
jingji+,荆棘+：每次受到伤害时，对英雄造成随机debuff。
fangyu,防御：格挡受到的伤害，回合开始时清零。
yishi,仪式：每回合开始时获得等同于仪式层数的力量。
rengongzhipin,人工制品：抵消下一次获得的负面效果。
duoluo,堕落：每当获得负面效果时，抽1牌并获得1能量。
tongguiyujin,同归于尽：每当你获得负面效果时，给予所有敌人一层相同的负面效果。
chaonengli,钞能力：每当你获得魂时，获得1点力量。
emoqiyue,恶魔契约：每当你使用魂时，抽一张牌。
hexinhudun,核心护盾：每回合结束时扣除3点魂，获得6点防御。
hunpozaisheng,魂魄再生：每回合开始时获得10魂。
xiaohao,消耗：被消耗的牌将在战斗结束前被移除出牌组。
zifu,自负：必须打出拥有自负的牌才能打出其它牌。两张会锁死。
xuwu,虚无：如果这张牌在回合结束时仍然在你的手中，它将被消耗。
hun,魂：一种局内资源，战斗开始从金币中获得至多10魂，\n战斗结束剩余的魂将变为金币。
zuzhou,诅咒：回合结束时，失去等同于诅咒层数的生命值。
duwu,毒物：123
